en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
hemophilia,血友病,disease,病気,"human genetic disease that impairs the body's ability to make blood clots, a process needed to stop bleeding",血液凝固因子のうちVIII因子、IX因子の欠損ないし活性低下による遺伝性血液凝固異常症,Q134003
Bannayan-Riley-Ruvalcaba syndrome,バナヤン・ライリー・ルバルカバ症候群,disease,病気,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,Q474254
familial Mediterranean fever,家族性地中海熱,disease,病気,Human disease,,Q1144618
age related macular degeneration,加齢黄斑変性,disease,病気,medical condition which may result in blurred or no vision in the center of the visual field,,Q830308
phaeochromocytoma,褐色細胞腫,disease,病気,endocrine organ benign neoplasm that arises within the adrenal medulla,,Q536269
Krabbe disease,クラッベ病,disease,病気,congenital disorder of the nervous system,,Q511372
uncombable hair syndrome,梳かせない髪症候群,disease,病気,rare scalp hair shaft dysplasia,,Q541852
Dubin-Johnson syndrome,デュビン・ジョンソン症候群,disease,病気,"rare, autosomal recessive, benign disorder that causes an isolated increase of conjugated bilirubin in the serum",,Q1263039
polyorchidism,多睾丸症,disease,病気,rare disease,,Q745631
hyperaldosteronism,アルドステロン症,disease,病気,adrenal gland hyperfunction disease that results in the overproduction of aldosterone by the adrenal glands,,Q1640860
Creutzfeldt-Jakob disease,クロイツフェルト・ヤコブ病,disease,病気,degenerative neurological disorder,中枢神経の変性疾患,Q49989
ichthyosis,魚鱗癬,disease,病気,"skin disease in which dry, scaly skin accumulates",先天的、または後天的な皮膚病の一種,Q523893
atrial fibrillation,心房細動,disease,病気,abnormal heart rhythm characterized by rapid and irregular beating,,Q815819
Pick disease,ピック病,disease,病気,"rare neurodegenerative disorder, characterized by formation of Pick bodies",,Q18576
keratosis pilaris,毛孔性苔癬,disease,病気,skin condition characterized by small bumps,,Q1637035
mastocytosis,肥満細胞症,disease,病気,human disease,,Q112670
DiGeorge syndrome,22q11.2欠失症候群,disease,病気,"T cell deficiency disease that is the result of a large deletion of chromosome 22, which includes the DGS gene needed for development of the thymus and related glands with subsequent lack of T-cell production",,Q525642
nephroblastoma,腎芽腫,disease,病気,rare disease,小児の腎腫瘍,Q756289
drusen,ドルーゼン,disease,病気,tiny yellow or white accumulations of extracellular material that build up between Bruch's membrane and the retinal pigment epithelium of the eye,,Q1140528
pre-eclampsia,子癇前症,disease,病気,hypertension occurring during pregnancy,,Q61335
hyperthyroidism,甲状腺機能亢進症,disease,病気,thyroid gland disease that involves an overproduction of thyroid hormone,,Q16499
pseudohypoparathyroidism,偽性副甲状腺機能低下症,disease,病気,human disease,,Q819207
Crigler-Najjar syndrome,クリグラー・ナジャール症候群,disease,病気,bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT),,Q1140000
advanced sleep phase syndrome,睡眠相前進症候群,disease,病気,sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning,概日リズムが正常な状態より前進する疾患,Q1125121
Duane retraction syndrome,デュアン症候群,disease,病気,a rare congenital disease characterized by external gaze palsy,,Q1262684
hemolytic anemia,溶血性貧血,disease,病気,form of anemia due to hemolysis,赤血球の破壊により起こる貧血,Q1145668
tetralogy of Fallot,ファロー四徴症,disease,病気,"congenital heart defect, whose symptoms include episodes of bluish skin color, whose embryology includes anteriosuperior displacement of the infundibular (aorticopulmonary) septum",心室中隔欠損症、大動脈騎乗、肺動脈狭窄、右心室肥大という4特徴と同時にチアノーゼを伴う先天性心疾患,Q1126831
trimethylaminuria,トリメチルアミン尿症,disease,病気,rare metabolic disorder,,Q506433
Landau–Kleffner syndrome,ランドウ・クレフナー症候群,disease,病気,a rare childhood neurological syndrome characterized by seizures and progressive loss of speech typically in a child with previous age-appropriate development,,Q1636310
osteogenesis imperfecta,骨形成不全症,disease,病気,osteochondrodysplasia that has material basis in a deficiency in type-I collagen which results in brittle bones and defective connective tissue,,Q749409
albinism,アルビノ,disease,病気,congenital disorder causing skin to lack pigmentation,,Q81867
nephrotic syndrome,ネフローゼ症候群,disease,病気,Human disease,尿中に大量のタンパク質が排出されることにより、血液中のタンパク質の濃度が薄くなる結果、むくみ（浮腫）等の異常が起こる疾患,Q504790
erythromelalgia,肢端紅痛症,disease,病気,Human disease,,Q524353
angioedema,血管性浮腫,disease,病気,disease characterized by the rapid swelling,,Q1129007
hypoplastic left heart syndrome,左心低形成症候群,disease,病気,congenital heart disease characterized by abnormal development of the left-sided structures of the heart,,Q1641399
neuroacanthocytosis,神経有棘赤血球症,disease,病気,Neuroacanthocytosis (NA) syndromes are a group of genetic diseases characterized by the association of red blood cell acanthocytosis (deformed erythrocytes with spike-like protrusions) and progressive degeneration of the basal ganglia,,Q746781
Dravet syndrome,ドラべ症候群,disease,病気,epilepsy characterized by frequent febrile seizures and with onset before 1 year,,Q1255956
thrombophilia,血栓性素因,disease,病気,abnormality of blood coagulation that increases the risk of thrombosis (blood clots in blood vessels),,Q1570013
catecholaminergic polymorphic ventricular tachycardia,カテコールアミン誘発多形性心室頻拍,disease,病気,disorder characterized by an abnormal heart rhythm (arrhythmia),,Q1649897
microphthalmia,小眼球症,disease,病気,eye disease where one or both eyeballs are abnormally small,眼球の大きさ,Q1557239
tooth agenesis,歯数不足症,disease,病気,human disease,,Q1549421
hypotrichosis,低毛症,disease,病気,"hair disease that is characterized by sparse hair on the scalp resulting from abnormal hair follicle development and has material basis in mutations in proteins involved in hair growth, division or proliferation of cells within hair follicles",,Q1641483
Duchenne muscular dystrophy,デュシェンヌ型筋ジストロフィー,disease,病気,"neuromuscular disease characterized by rapidly progressive muscle weakness and wasting due to degeneration of skeletal, smooth and cardiac muscle",,Q1648484
renal tubular acidosis,尿細管性アシドーシス,disease,病気,"renal tubular transport disease characterized by excess levels of acid in the blood, due to a failure of the kidneys",,Q1516211
vesicoureteral reflux,膀胱尿管逆流,disease,病気,ureteral disease characterized by backward flow of urine from the urinary bladder into the ureter,,Q1550521
Rett syndrome,レット症候群,disease,病気,genetic brain disorder,生後6カ月以降の女児にみられる遺伝性発達障害,Q917357
citrullinemia,シトルリン血症,disease,病気,urea cycle disorder that involves the accumulation of ammonia in the blood.,,Q859142
slipped capital femoral epiphysis,大腿骨頭滑り症,disease,病気,rare disease,,Q442615
Sandhoff disease,サンドホフ病,disease,病気,"lysosomal storage disorder from the GM2 gangliosidosis family, characterised by central nervous system degeneration",,Q917227
temporal lobe epilepsy,側頭葉てんかん,disease,病気,Human disease,,Q616667
Usher syndrome,アッシャー症候群,disease,病気,syndrome characterized by a combination of hearing loss and visual impairment,,Q917399
osteochondritis dissecans,離断性骨軟骨炎,disease,病気,ischemic bone disease that results in necrosis located in epiphysis,,Q127556
pulmonary alveolar proteinosis,肺胞蛋白症,disease,病気,"lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli, interfering with gas exchange",,Q448698
5-alpha-reductase deficiency,5α-還元酵素II型欠損症,disease,病気,medical condition,,Q858426
Gaucher's disease,ゴーシェ病,disease,病気,human disease characterized by deficiency of the enzyme glucocerebrosidase which results in the accumulation of harmful quantities of the glycolipid glucocerebroside throughout the body,,Q861645
Fabry disease,ファブリー病,disease,病気,rare human genetic lysosomal storage disorder,,Q615645
amelogenesis imperfecta,エナメル質形成不全,disease,病気,dental enamel hypoplasia characterized by abnormal enamel formation,,Q461854
Tay-Sachs disease,テイ＝サックス病,disease,病気,Human medical condition,,Q560337
lymphangiomatosis,リンパ管腫症,disease,病気,rare disease,,Q183390
chondrocalcinosis,偽痛風,disease,病気,arthritis that has material basis in the accumulation of salt crystals located in joint,,Q559082
Alexander disease,アレキサンダー病,disease,病気,congenital disorder of nervous system,,Q567820
febrile seizure,熱性けいれん,disease,病気,seizure associated with a high body temperature,温度が38°Cを超えると発生する発作,Q127664
thrombocytopenia,血小板減少症,disease,病気,blood platelet disease characterized by a low platelet count,,Q585285
bicuspid aortic valve,大動脈二尖弁,disease,病気,human disease,,Q860167
xeroderma pigmentosum,色素性乾皮症,disease,病気,autosomal recessive disease that is characterized by a deficiency in the ability to repair ultraviolet damage that has material basis in autosomal recessive inheritance of DNA repair,,Q612693
adrenocortical carcinoma,副腎皮質癌,disease,病気,adrenal cortex cancer that forms in the outer layer of tissue of the adrenal gland and that has material basis in abnormally proliferating cells derives from epithelial cells,,Q918285
gestational trophoblastic neoplasm,胞状奇胎,disease,病気,Human disease,,Q881855
Antley-Bixler syndrome,アントレー・ビクスラー症候群,disease,病気,autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the FGFR2 gene,,Q585011
dyslexia,ディスレクシア,disease,病気,specific learning disability characterized by troubles with reading,文字の読み書きに関する学習障害,Q132971
rickets,くる病,disease,病気,human disease,カルシウム・リン・ビタミンDなどの摂取不足・代謝異常によって、骨形成過程の石灰化が正常にならず、弱い骨となる病気,Q183392
hypopituitarism,下垂体機能低下症,disease,病気,pituitary gland disease characterized by the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland,,Q922411
thyroid hormone resistance syndrome,甲状腺ホルモン不応症,disease,病気,Human disease,,Q1515038
medulloblastoma,髄芽腫,disease,病気,"infratentorial cancer located in the lower part of the brain, a type of primitive neuroectodermal tumor",神経系に発生する悪性腫瘍,Q1333608
stiff-person syndrome,スティッフパーソン症候群,disease,病気,"rare neurologic disorder characterized by progressive rigidity and stiffness in truncal muscles, spasms, postural deformities, chronic pain, impaired mobility, and lumbar hyperlordosis",非常に稀な進行性の神経性疾患で、自己免疫疾患の一種,Q1235785
Wolff–Parkinson–White syndrome,WPW症候群,disease,病気,"congenital syndrome characterized by additional electrical pathways causing electrical conduction problems in the heart, leading to sporadic episodes of tachycardia and other symptoms.",,Q925092
Stargardt disease,スターガルト病,disease,病気,age related macular degeneration that is characterized by progressive vision loss usually to the point of legal blindness,,Q1317319
diphallia,陰茎重複症,disease,病気,genital medical condition,男児が2本の陰茎を持って生まれる疾患,Q1227139
Pfeiffer syndrome,プファイファー症候群,disease,病気,acrocephalosyndactylia that has material basis in mutations in the FGFR1 and FGFR2 gene which results in premature fusion located in skull,,Q1286848
Emery-Dreifuss muscular dystrophy,エメリー・ドレフュス型筋ジストロフィー,disease,病気,muscular dystrophy that chiefly affects muscles used for movement (skeletal) and heart (cardiac) muscle,,Q1335642
nemaline myopathy,ネマリンミオパチー,disease,病気,congenital structural myopathy characterized by generally non-progressive muscle weakness of varying severity,,Q1507379
Rotor syndrome,ローター症候群,disease,病気,rare disease,,Q1512812
Naxos disease,ナクソス病,disease,病気,"Naxos disease is a recessively inherited condition with arrhythmogenic right ventricular dysplasia/cardiomyopathy (ARVD/C) and a cutaneous phenotype, characterised by peculiar woolly hair and palmoplantar keratoderma",,Q1332565
Hermansky-Pudlak syndrome,ヘルマンスキー・プドラック症候群,disease,病気,rare disease,,Q1506216
Nijmegen breakage syndrome,ナイミーヘン染色体不安定症候群,disease,病気,human disease,,Q1250362
Barth syndrome,バース症候群,disease,病気,lipid metabolism disorder that has material basis in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin,,Q928424
Kostmann syndrome,重症先天性好中球減少症,disease,病気,"group of diseases that affect myelopoiesis, causing a congenital form of neutropenia",,Q1337441
piebaldism,ぶち症,disease,病気,human disease,,Q1516083
sitosterolemia,シトステロール血症,disease,病気,rare autosomal recessively inherited lipid metabolic disorder,,Q1336034
empty sella syndrome,エンプティ・セラ症候群,disease,病気,endocrine disease,,Q1339466
cyclic vomiting syndrome,周期性嘔吐症,disease,病気,human disease,,Q1857905
Pelizaeus-Merzbacher disease,ペリツェウス・メルツバッハー病,disease,病気,"hypomyelinating leukodystrophy characterized by impaired myelin formation, nystagmus, spastic quadriplegia, ataxia, and developmental delay that has material basis in mutation in the PLP1 gene on chromosome Xq22",,Q1876206
inclusion body myositis,封入体筋炎,disease,病気,inflammatory muscle disease in older adults,,Q1848471
immunodeficiency-centromeric instability-facial anomalies syndrome 1,ICF症候群,disease,病気,human disease,,Q1869923
osteopetrosis,大理石骨病,disease,病気,"an extremely rare inherited disorder whereby the bones harden, becoming denser, sometimes causing bones to dissolve and break, caused by malfunctioning osteoclasts’ inability to resorb bone",,Q1755568
myotonic dystrophy,筋強直性ジストロフィー,disease,病気,long term genetic disorder that affects muscle function,,Q1860507
sickle-cell disease,鎌状赤血球症,disease,病気,group of genetic blood disorders,,Q185034
left ventricular noncompaction,心筋緻密化障害,disease,病気,human disease,,Q1725245
familial adenomatous polyposis,家族性大腸腺腫症,disease,病気,autosomal dominant disease that is has material basis in mutations in the APC gene and involves formation of numerous polyps in the epithelium of the large intestine which are initially benign and later transform into colon cancer,,Q1369011
aphakia,無水晶体症,disease,病気,condition where the eye lacks a lens,水晶体が目にない状態,Q558623
Pelger-Huet anomaly,ペルゲル・ヒュエット異常症,disease,病気,Human disease,,Q975182
tyrosinemia type I,高チロシン血症1型,disease,病気,tyrosinemia that has material basis in deficiency of the enzyme fumarylacetoacetate hydrolase resulting in an increase in fumarylacetoacetate which inhibits previous steps in tyrosine degradation leading to an accumulation of tyrosine in the body,,Q1747726
Ohtahara syndrome,大田原症候群,disease,病気,neonatoal period electroclinical syndrome that is characterized by tonic spasms and partial seizures,,Q649602
McLeod syndrome,マクロード症候群,disease,病気,rare disease,,Q966149
Li-Fraumeni syndrome,Li-Fraumeni症候群,disease,病気,"autosomal dominant disease characterized by increased risk of developing several types of cancer, including breast cancer, osteosarcomata and soft tissue sarcomata",,Q187542
prolactinoma,プロラクチノーマ,disease,病気,adenoma of the pituitary gland producing prolactin,,Q954831
multiple endocrine neoplasia type 2A,多発性内分泌腫瘍症2型,disease,病気,"autosomal dominant disease characterized by medullary carcinoma of the thyroid, pheochromocytoma, hyperparathyroidism, and occasionally cutaneous lichen amyloidosis",,Q604075
acromegaly,先端巨大症,disease,病気,Human disease / micro cephaly opposite,,Q189580
Sertoli cell-only syndrome,セルトリ細胞遺残症候群,disease,病気,Human disease,,Q167050
lymphedema,リンパ水腫,disease,病気,human disease,,Q916398
Huntington's disease,ハンチントン病,disease,病気,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",遺伝子の第1エクソンのCAGの繰り返し配列が異常に伸びることによる変性疾患,Q190564
trichotillomania,抜毛症,disease,病気,impulse control disorder with uncontrollable hair pulling,正常な毛を引き抜いてしまう精神障害のひとつ,Q608259
hemophilia C,第XI因子欠乏症,disease,病気,human disease,,Q1393718
Williams-Beuren syndrome,ウィリアムズ症候群,disease,病気,"neurodevelopmental disorder caused by a deletion of around 27 genes in chromosome 7, characterized by a broad forehead, underdeveloped chin, short nose, full cheeks, challenges with visual tasks, increased empathy and decreased aggression",まれな遺伝子疾患,Q558077
Legius syndrome,レジウス症候群,disease,病気,rare genetic skin pigmentation disorder characterized by multiple cafe-au-lait macules,,Q890470
nodding disease,頷き病,disease,病気,medical condition,,Q895930
Prader–Willi syndrome,プラダー・ウィリー症候群,disease,病気,rare genetic disorder,,Q594013
alpha-1-antitrypsin deficiency,α1-アンチトリプシン欠乏症,disease,病気,genetic disorder that may result in lung disease or liver disease,,Q622437
factor XIII deficiency,第XIII因子欠乏症,disease,病気,Human disease,,Q1393725
frontotemporal lobar degeneration,前頭側頭葉変性症,disease,病気,group of disorders,,Q18579
pycnodysostosis,濃化異骨症,disease,病気,"osteochondrodysplasia that has material basis in a mutation in the CTSK gene which results in dwarfism, brittle bones, osteopetrosis, shortening of the distal phalanges",,Q974928
alkaptonuria,アルカプトン尿症,disease,病気,"amino acid metabolic disorder that involves phenylalanine and tyrosine metabolism with the accumulation of homogentisic acid, a toxic tyrosine byproduct",,Q651680
adult Refsum disease,レフサム病,disease,病気,Human disease,,Q177809
frontotemporal dementia,前頭側頭型認知症,disease,病気,medical condition,,Q18592
essential thrombocytosis,本態性血小板血症,disease,病気,human disease,,Q1368780
VACTERL association,VACTERL連合,disease,病気,"syndrome that is characterized by the presence of at least three of the following: vertebral defects, anal atresia, cardiac defects, tracheo-esophageal fistula, renal anomalies, and limb abnormalities",,Q1755537
congenital central hypoventilation syndrome,先天性中枢性肺胞低換気症候群,disease,病気,Human disease,,Q979129
XY gonadal dysgenesis,XY型性腺形成異常症,disease,病気,"gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo",,Q957751
Fazio-Londe disease,ファチオ・ロンド症候群,disease,病気,a very rare inherited motor neuron disease of children and young adults,,Q1399155
melanoma,悪性黒色腫,disease,病気,malignant neoplasm originating from melanocytes,皮膚、眼窩内組織、口腔粘膜上皮などに発生するメラノサイト由来の悪性腫瘍,Q180614
Lafora disease,ラフォラ病,disease,病気,"type of rare, inherited, severe, progressive myoclonic epilepsy",,Q163905
Brugada syndrome,ブルガダ症候群,disease,病気,heart conduction disease characterized by abnormal ECG findings,,Q599683
Cockayne syndrome,コケイン症候群,disease,病気,rare and fatal autosomal recessive neurodegenerative disorder,DNA修復遺伝子の異常による常染色体潜性遺伝性の早老症,Q914389
postural orthostatic tachycardia syndrome,体位性起立性頻拍症候群,disease,病気,condition in which a change from lying to standing causes an abnormally large increase in heart rate,,Q620760
cone dystrophy,錐体ジストロフィー,disease,病気,inherited ocular disorder characterized by the loss of cone cells,,Q147270
bronchiectasis,気管支拡張症,disease,病気,disorder of respiratory system,,Q32778
Roberts syndrome,ロバーツ症候群,disease,病気,Human disease,,Q619428
